agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
TR,Thailand Railways,http://www.railway.co.th/home/,Asia/Bangkok,,
ALEX,Alek Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,unknown 12
BANHSAPHAN,Bang Saphan Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
CHERDAI,Cherdchai Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
DAMNOEN,Damnoen Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
ESAN,E-San Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
GREEN,Green Bus,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
LOCAL,Local bus,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
NAKHONCHAI,Nakhon Chai,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
PHANTIP,PHANTIP CO: LTD,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
PHETCHABURI,Phetchaburi Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
PHUKET,Phuket Travel,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
PREMACHA,Prempracha Transport,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
RUNGRUENG,Roong Reuang Coach,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
RUNGKIT,Rung Kit Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
RUNGTHAWEE,Rungthawee Chockdee Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
SHINNAKEART,Shinnakeart Korat,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
SOMBAT,Sombattour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
SRITRANG,Sritrang Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
SUKHOTHA,Sukhothaitanee,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
SUWANNATEE,Suwannatee Tour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
TRANSPORTCO,Transport 99,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
WARANUT,Wararut Samee,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
WINTOUR,Wintour,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
YELLOW,Yellow Bus,http://gee.chalo.org.uk/index.html,Asia/Bangkok,,
