route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
NE-Line,TR,North Eastern Line,,,2,,,
N-Line,TR,Northern Line,,,2,,,
S-Line,TR,Southern Line,,,2,,,
C-Line,TR,City Line,,,2,,,
E-Line,TR,Eastern Line,,,2,,,
bus-AMC2BNK,LOCAL,Amnat Charoen to Bangkok,Amnat Charoen to Bangkok,description,3,,,
bus-AMP2BNK,LOCAL,Amphawa to Bangkok,Amphawa to Bangkok,description,3,,,
ARY2BUR,YELLOW,Aranyaprathet to Buri Ram,Aranyaprathet to Buri Ram,description,3,,,
ARY2CHB,YELLOW,Aranyaprathet to Chon Buri,Aranyaprathet to Chon Buri,description,3,,,
ARY2PAT,YELLOW,Aranyaprathet to Pattaya,Aranyaprathet to Pattaya,description,3,,,
ARY2bus-RAY,YELLOW,Aranyaprathet to Rayong,Aranyaprathet to Rayong,description,3,,,
ARY2SUR,YELLOW,Aranyaprathet to Surin,Aranyaprathet to Surin,description,3,,,
AYU2BNK,LOCAL,Ayutthaya to Bangkok,Ayutthaya to Bangkok,description,3,,,
AYU2CGM,LOCAL,Ayutthaya to Chiang Mai,Ayutthaya to Chiang Mai,description,3,,,
AYU2PHL,LOCAL,Ayutthaya to Phitsanulok,Ayutthaya to Phitsanulok,description,3,,,
AYU2SAR,LOCAL,Ayutthaya to Saraburi,Ayutthaya to Saraburi,description,3,,,
AYU2bus-SUK,LOCAL,Ayutthaya to Sukhothai,Ayutthaya to Sukhothai,description,3,,,
AYU2SUP,LOCAL,Ayutthaya to Suphan Buri,Ayutthaya to Suphan Buri,description,3,,,
BNK2bus-CKO,SOMBAT,Bangkok to Chiang Khong,Bangkok to Chiang Khong,description,3,,,
BNK2bus-CHR,SOMBAT,Bangkok to Chiang Rai,Bangkok to Chiang Rai,description,3,,,
E72bus-CHN,LOCAL,Ekkamai to Chanthaburi,Ekkamai to Chanthaburi,description,3,,,
E72CHB,LOCAL,Ekkamai to Chon Buri,Ekkamai to Chon Buri,description,3,,,
E72PAT,RUNGRUENG,Ekkamai to Pattaya,Ekkamai to Pattaya,description,3,,,
E72bus-RAY,LOCAL,Ekkamai to Rayong,Ekkamai to Rayong,description,3,,,
E72bus-TRA,LOCAL,Ekkamai to Trat,Ekkamai to Trat,description,3,,,
BNK2KHE,LOCAL,Bangkok to Khon Kaen,Bangkok to Khon Kaen,description,3,,,
BNK2bus-KOS,SOMBAT,Bangkok to Ko Samui,Bangkok to Ko Samui,description,3,,,
BNK2bus-MHS,SOMBAT,Bangkok to Mae Hong Son,Bangkok to Mae Hong Son,description,3,,,
BNK2bus-MAS,SOMBAT,Bangkok to Mae Sai,Bangkok to Mae Sai,description,3,,,
N82bus-AMC,LOCAL,Mo Chit to Amnat Charoen,Mo Chit to Amnat Charoen,description,3,,,
N82AYU,LOCAL,Mo Chit to Ayutthaya,Mo Chit to Ayutthaya,description,3,,,
N82BUR,LOCAL,Mo Chit to Buri Ram,Mo Chit to Buri Ram,description,3,,,
N82bus-CHA,LOCAL,Mo Chit to Chaiyaphum,Mo Chit to Chaiyaphum,description,3,,,
N82bus-CHN,LOCAL,Mo Chit to Chanthaburi,Mo Chit to Chanthaburi,description,3,,,
N82CGM,SOMBAT,Mo Chit to Chiang Mai,Mo Chit to Chiang Mai,description,3,,,
N82bus-CHR,LOCAL,Mo Chit to Chiang Rai,Mo Chit to Chiang Rai,description,3,,,
N82HYJ,LOCAL,Mo Chit to Hat Yai Junction,Mo Chit to Hat Yai Junction,description,3,,,
N82bus-KAL,LOCAL,Mo Chit to Kalasin,Mo Chit to Kalasin,description,3,,,
N82KAM,LOCAL,Mo Chit to Kamphaeng Phet,Mo Chit to Kamphaeng Phet,description,3,,,
N82KAC,LOCAL,Mo Chit to Kanchanaburi,Mo Chit to Kanchanaburi,description,3,,,
N82bus-KOS,LOCAL,Mo Chit to Ko Samui,Mo Chit to Ko Samui,description,3,,,
N82NAL,LOCAL,Mo Chit to Nakhon Lampang,Mo Chit to Nakhon Lampang,description,3,,,
N82LAM,LOCAL,Mo Chit to Lam Phun,Mo Chit to Lam Phun,description,3,,,
N82bus-LOE,LOCAL,Mo Chit to Loei,Mo Chit to Loei,description,3,,,
N82LOR,LOCAL,Mo Chit to Lop Buri,Mo Chit to Lop Buri,description,3,,,
N82busstop-MAM,LOCAL,Mo Chit to Maha Sarakham,Mo Chit to Maha Sarakham,description,3,,,
N82bus-MUK,TRANSPORTCO,Mo Chit to Mukdahan,Mo Chit to Mukdahan,description,3,,,
N82bus-NKN,LOCAL,Mo Chit to Nakhon Nayok,Mo Chit to Nakhon Nayok,description,3,,,
N82NAN,LOCAL,Mo Chit to Nakhon Pathom,Mo Chit to Nakhon Pathom,description,3,,,
N82bus-NKP,LOCAL,Mo Chit to Nakhon Phanom,Mo Chit to Nakhon Phanom,description,3,,,
N82NAK,TRANSPORTCO,Mo Chit to Nakhon Ratchasima,Mo Chit to Nakhon Ratchasima,description,3,,,
N82NAO,LOCAL,Mo Chit to Nakhon Sawan,Mo Chit to Nakhon Sawan,description,3,,,
N82bus-NAN,LOCAL,Mo Chit to Nan,Mo Chit to Nan,description,3,,,
N82bus-NBL,LOCAL,Mo Chit to Nong Bua Lamphu,Mo Chit to Nong Bua Lamphu,description,3,,,
N82NOH,LOCAL,Mo Chit to Nong Khai,Mo Chit to Nong Khai,description,3,,,
N82PAT,RUNGRUENG,Mo Chit to Pattaya,Mo Chit to Pattaya,description,3,,,
N82bus-PET,LOCAL,Mo Chit to Phetchabun,Mo Chit to Phetchabun,description,3,,,
N82bus-PHR,LOCAL,Mo Chit to Phrae,Mo Chit to Phrae,description,3,,,
N82bus-PHA,LOCAL,Mo Chit to Phayao,Mo Chit to Phayao,description,3,,,
N82PHL,LOCAL,Mo Chit to Phitsanulok,Mo Chit to Phitsanulok,description,3,,,
N82bus-PNP,TRANSPORTCO,Mo Chit to Phnom Penh,Mo Chit to Phnom Penh,description,3,,,
N82bus-PKT,TRANSPORTCO,Mo Chit to Phuket,Mo Chit to Phuket,description,3,,,
N82PHI,LOCAL,Mo Chit to Phichit,Mo Chit to Phichit,description,3,,,
N82bus-RAY,LOCAL,Mo Chit to Rayong,Mo Chit to Rayong,description,3,,,
N82bus-SKN,LOCAL,Mo Chit to Sakon Nakhon,Mo Chit to Sakon Nakhon,description,3,,,
N82bus-SMP,LOCAL,Mo Chit to Samut Prakan,Mo Chit to Samut Prakan,description,3,,,
N82bus-SGB,TRANSPORTCO,Mo Chit to Sangkhla Buri,Mo Chit to Sangkhla Buri,description,3,,,
N82SAR,LOCAL,Mo Chit to Saraburi,Mo Chit to Saraburi,description,3,,,
N82bus-SRP,TRANSPORTCO,Mo Chit to Siem Reap,Mo Chit to Siem Reap,description,3,,,
N82SIS,LOCAL,Mo Chit to Si Saket,Mo Chit to Si Saket,description,3,,,
N82bus-SUK,LOCAL,Mo Chit to Sukhothai,Mo Chit to Sukhothai,description,3,,,
N82SRN,LOCAL,Mo Chit to Surat Thani,Mo Chit to Surat Thani,description,3,,,
N82SUR,LOCAL,Mo Chit to Surin,Mo Chit to Surin,description,3,,,
N82bus-TAK,LOCAL,Mo Chit to Tak,Mo Chit to Tak,description,3,,,
N82bus-TRA,LOCAL,Mo Chit to Trat,Mo Chit to Trat,description,3,,,
N82UBO,LOCAL,Mo Chit to Ubon Ratchathani,Mo Chit to Ubon Ratchathani,description,3,,,
N82UTT,LOCAL,Mo Chit to Uttaradit,Mo Chit to Uttaradit,description,3,,,
N82bus-YAS,LOCAL,Mo Chit to Yasothon,Mo Chit to Yasothon,description,3,,,
BNK2SIS,LOCAL,Bangkok to Si Saket,Bangkok to Si Saket,description,3,,,
BNK2THG,SOMBAT,Bangkok to Thung Song Junction,Bangkok to Thung Song Junction,description,3,,,
bus-BKS2bus-AMP,LOCAL,Bangkok(Southern Bus Terminal) to Amphawa,Bangkok(Southern Bus Terminal) to Amphawa,description,3,,,
bus-BKS2BAY,BANHSAPHAN,Bangkok(Southern Bus Terminal) to Bang Saphan Yai,Bangkok(Southern Bus Terminal) to Bang Saphan Yai,description,3,,,
bus-BKS2BAU,LOCAL,Bangkok(Southern Bus Terminal) to Ban Krut,Bangkok(Southern Bus Terminal) to Ban Krut,description,3,,,
bus-BKS2CAA,LOCAL,Bangkok(Southern Bus Terminal) to Cha Am,Bangkok(Southern Bus Terminal) to Cha Am,description,3,,,
bus-BKS2CPN,LOCAL,Bangkok(Southern Bus Terminal) to Chumphon,Bangkok(Southern Bus Terminal) to Chumphon,description,3,,,
bus-BKS2HYJ,LOCAL,Bangkok(Southern Bus Terminal) to Hat Yai Junction,Bangkok(Southern Bus Terminal) to Hat Yai Junction,description,3,,,
bus-BKS2HHI,LOCAL,Bangkok(Southern Bus Terminal) to Hua Hin,Bangkok(Southern Bus Terminal) to Hua Hin,description,3,,,
bus-BKS2KAC,TRANSPORTCO,Bangkok(Southern Bus Terminal) to Kanchanaburi,Bangkok(Southern Bus Terminal) to Kanchanaburi,description,3,,,
bus-BKS2bus-KOP,TRANSPORTCO,Bangkok(Southern Bus Terminal) to Ko Pha Ngan,Bangkok(Southern Bus Terminal) to Ko Pha Ngan,description,3,,,
bus-BKS2bus-KOS,TRANSPORTCO,Bangkok(Southern Bus Terminal) to Ko Samui,Bangkok(Southern Bus Terminal) to Ko Samui,description,3,,,
bus-BKS2bus-KRA,LOCAL,Bangkok(Southern Bus Terminal) to Krabi,Bangkok(Southern Bus Terminal) to Krabi,description,3,,,
bus-BKS2NAH,LOCAL,Bangkok(Southern Bus Terminal) to Nakhon Si Thammarat,Bangkok(Southern Bus Terminal) to Nakhon Si Thammarat,description,3,,,
bus-BKS2bus-NAR,LOCAL,Bangkok(Southern Bus Terminal) to Narathiwat,Bangkok(Southern Bus Terminal) to Narathiwat,description,3,,,
bus-BKS2bus-PAT,LOCAL,Bangkok(Southern Bus Terminal) to Pattani,Bangkok(Southern Bus Terminal) to Pattani,description,3,,,
bus-BKS2PAT,RUNGRUENG,Bangkok(Southern Bus Terminal) to Pattaya,Bangkok(Southern Bus Terminal) to Pattaya,description,3,,,
bus-BKS2bus-PHN,LOCAL,Bangkok(Southern Bus Terminal) to Phang Nga,Bangkok(Southern Bus Terminal) to Phang Nga,description,3,,,
bus-BKS2PHE,PHETCHABURI,Bangkok(Southern Bus Terminal) to Phetchaburi,Bangkok(Southern Bus Terminal) to Phetchaburi,description,3,,,
bus-BKS2bus-PKT,TRANSPORTCO,Bangkok(Southern Bus Terminal) to Phuket,Bangkok(Southern Bus Terminal) to Phuket,description,3,,,
