trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
21,05:45:00,05:45:00,BNK,1,,0,0,0.0
135,06:40:00,06:40:00,BNK,1,,0,0,0.0
75,08:20:00,08:20:00,BNK,1,,0,0,0.0
71,10:05:00,10:05:00,BNK,1,,0,0,0.0
233,11:40:00,11:40:00,BNK,1,,0,0,0.0
145,15:20:00,15:20:00,BNK,1,,0,0,0.0
77,18:35:00,18:35:00,BNK,1,,0,0,0.0
133,20:45:00,20:45:00,BNK,1,,0,0,0.0
139,18:55:00,18:55:00,BNK,1,,0,0,0.0
67,20:30:00,20:30:00,BNK,1,,0,0,0.0
69,20:00:00,20:00:00,BNK,1,,0,0,0.0
73,21:50:00,21:50:00,BNK,1,,0,0,0.0
141,22:25:00,22:25:00,BNK,1,,0,0,0.0
143,23:40:00,23:40:00,BNK,1,,0,0,0.0
21,06:58:00,06:58:00,AYU,2,,0,0,0.0
135,08:25:00,08:25:00,AYU,2,,0,0,0.0
75,09:40:00,09:40:00,AYU,2,,0,0,0.0
71,11:24:00,11:24:00,AYU,2,,0,0,0.0
233,13:06:00,13:06:00,AYU,2,,0,0,0.0
145,16:56:00,16:56:00,AYU,2,,0,0,0.0
77,20:00:00,20:00:00,AYU,2,,0,0,0.0
133,22:17:00,22:17:00,AYU,2,,0,0,0.0
139,20:25:00,20:25:00,AYU,2,,0,0,0.0
67,21:41:00,21:41:00,AYU,2,,0,0,0.0
69,21:40:00,21:40:00,AYU,2,,0,0,0.0
73,23:08:00,23:08:00,AYU,2,,0,0,0.0
141,23:50:00,23:50:00,AYU,2,,0,0,0.0
143,25:12:00,25:12:00,AYU,2,,0,0,0.0
21,07:33:00,07:33:00,SAR,3,,0,0,0.0
135,09:09:00,09:09:00,SAR,3,,0,0,0.0
75,10:18:00,10:18:00,SAR,3,,0,0,0.0
71,12:03:00,12:03:00,SAR,3,,0,0,0.0
233,13:52:00,13:52:00,SAR,3,,0,0,0.0
145,18:00:00,18:00:00,SAR,3,,0,0,0.0
77,20:38:00,20:38:00,SAR,3,,0,0,0.0
133,23:02:00,23:02:00,SAR,3,,0,0,0.0
139,22:24:00,22:24:00,SAR,3,,0,0,0.0
67,22:31:00,22:31:00,SAR,3,,0,0,0.0
69,22:24:00,22:24:00,SAR,3,,0,0,0.0
73,23:44:00,23:44:00,SAR,3,,0,0,0.0
141,24:31:00,24:31:00,SAR,3,,0,0,0.0
143,25:57:00,25:57:00,SAR,3,,0,0,0.0
21,07:44:00,07:44:00,KAE,4,,0,0,0.0
135,09:22:00,09:22:00,KAE,4,,0,0,0.0
75,10:30:00,10:30:00,KAE,4,,0,0,0.0
