stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
BAN,,Bang Sue,,13.803147,100.53929,,,0,
BSJ,,Bang Sue Junction,,13.802839,100.539604,,,0,
BTC,,Ban Chap Thang,,13.732864,100.6908,,,0,
CEN,,Siam,,13.745624,100.53422,,,0,
CGM,,Chiang Mai,,18.783592,99.01695,,,0,
CHA,,Chatuchak Park,,13.802937,100.55336,,,0,
CIY,,Chaiya,,9.388524,99.19532,,,0,
CPN,,Chumphon,,10.503096,99.17583,,,0,
CUL,,Thailand Cultural Centre,,13.766331,100.57012,,,0,
E10,,Bang Chak,,13.696604,100.60549,,,0,
E11,,Punnawithi,,13.689327,100.60904,,,0,
E12,,Udom Suk,,13.679889,100.60953,,,0,
E13,,Bang Na,,13.668161,100.60474,,,0,
E14,,Bearing,,13.661183,100.601875,,,0,
E1,,Chit Lom,,13.7440815,100.54311,,,0,
E2,,Phloen Chit,,13.743039,100.54908,,,0,
E3,,Nana,,13.740541,100.55546,,,0,
E4,,Asok,,13.7369995,100.56044,,,0,
E5,,Phrom Phong,,13.730488,100.569664,,,0,
E6,,Thong Lo,,13.724275,100.57849,,,0,
E7,,Ekkamai,,13.719653,100.585014,,,0,
E8,,Phra Khanong,,13.715194,100.591225,,,0,
E9,,On Nut,,13.705696,100.60105,,,0,
HHI,,Hua Hin,,12.567492,99.95452,,,0,
HUA,,Hua Lamphong,,13.737687,100.51721,,,0,
HUI,,Huai Khwang,,13.778691,100.573494,,,0,
HUM,,Hua Mak,,13.737985,100.64515,,,0,
HYJ,,Hat Yai Junction,,7.0040007,100.4676,,,0,
KAM,,Kamphaeng Phet,,13.797937,100.547935,,,0,
KHO,,Khlong Toei,,13.722447,100.55396,,,0,
LAT,,Lat Phrao,,13.8066225,100.57294,,,0,
LKB,,Lat Krabang,,13.727698,100.74857,,,0,
LOR,,Lop Buri,,14.798517,100.61542,,,0,
LUM,,Lumphini,,13.725551,100.545715,,,0,
N1,,Ratchathewi,,13.751846,100.53157,,,0,
N2,,Phaya Thai,,13.756924,100.53381,,,0,
N3,,Victory Monument,,13.762765,100.53707,,,0,
N4,,Sanam Pao,,13.7726145,100.54209,,,0,
