trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
423,NE-Line,daily,Samrong Thap,Lam Chi to Samrong Thap,0,,,0
425,NE-Line,daily,Ubon Ratchathani,Lam Chi to Ubon Ratchathani,0,,,0
421,NE-Line,daily,Ubon Ratchathani,Nakhon Ratchasima to Ubon Ratchathani,0,,,0
419,NE-Line,daily,Ubon Ratchathani,Nakhon Ratchasima to Ubon Ratchathani,0,,,0
427,NE-Line,daily,Ubon Ratchathani,Nakhon Ratchasima to Ubon Ratchathani,0,,,0
339,NE-Line,daily,Kaeng Khoi Junction,Bangkok to Kaeng Khoi Junction,0,,,0
21,NE-Line,daily,Ubon Ratchathani,Bangkok to Ubon Ratchathani,0,,,0
135,NE-Line,daily,Ubon Ratchathani,Bangkok to Ubon Ratchathani,0,,,0
71,NE-Line,daily,Si Saket,Bangkok to Si Saket,0,,,0
233,NE-Line,daily,Surin,Bangkok to Surin,0,,,0
145,NE-Line,daily,Ubon Ratchathani,Bangkok to Ubon Ratchathani,0,,,0
341,NE-Line,daily,Kaeng Khoi Junction,Bangkok to Kaeng Khoi Junction,0,,,0
343,NE-Line,daily,Kaeng Khoi Junction,Bangkok to Kaeng Khoi Junction,0,,,0
139,NE-Line,daily,Ubon Ratchathani,Bangkok to Ubon Ratchathani,0,,,0
67,NE-Line,daily,Ubon Ratchathani,Bangkok to Ubon Ratchathani,0,,,0
73,NE-Line,daily,Sikhoraphum,Bangkok to Sikhoraphum,0,,,0
141,NE-Line,daily,Ubon Ratchathani,Bangkok to Ubon Ratchathani,0,,,0
431,NE-Line,daily,Khon Kaen,Kaeng Khoi Junction to Khon Kaen,0,,,0
433,NE-Line,daily,Bua Yai Junction,Kaeng Khoi Junction to Bua Yai Junction,0,,,0
415,NE-Line,daily,Nong Khai,Nakhon Ratchasima to Nong Khai,0,,,0
439,NE-Line,daily,Bua Yai Junction,Kaeng Khoi Junction to Bua Yai Junction,0,,,0
437,NE-Line,daily,Lam Narai,Kaeng Khoi Junction to Lam Narai,0,,,0
429,NE-Line,daily,Bua Yai Junction,Nakhon Ratchasima to Bua Yai Junction,0,,,0
417,NE-Line,daily,Udon Thani,Nakhon Ratchasima to Udon Thani,0,,,0
75,NE-Line,daily,Udon Thani,Bangkok to Udon Thani,0,,,0
77,NE-Line,daily,Nong Khai,Bangkok to Nong Khai,0,,,0
133,NE-Line,daily,Nong Khai,Bangkok to Nong Khai,0,,,0
69,NE-Line,daily,Nong Khai,Bangkok to Nong Khai,0,,,0
142,NE-Line,daily,Bangkok,Ubon Ratchathani to Bangkok,0,,,0
74,NE-Line,daily,Bangkok,Si Saket to Bangkok,0,,,0
68,NE-Line,daily,Bangkok,Ubon Ratchathani to Bangkok,0,,,0
140,NE-Line,daily,Bangkok,Ubon Ratchathani to Bangkok,0,,,0
344,NE-Line,daily,Bangkok,Kaeng Khoi Junction to Bangkok,0,,,0
342,NE-Line,daily,Bangkok,Kaeng Khoi Junction to Bangkok,0,,,0
424,NE-Line,daily,Nakhon Ratchasima,Samrong Thap to Nakhon Ratchasima,0,,,0
340,NE-Line,daily,Bangkok,Kaeng Khoi Junction to Bangkok,0,,,0
428,NE-Line,daily,Nakhon Ratchasima,Ubon Ratchathani to Nakhon Ratchasima,0,,,0
234,NE-Line,daily,Bangkok,Surin to Bangkok,0,,,0
72,NE-Line,daily,Bangkok,Sikhoraphum to Bangkok,0,,,0
136,NE-Line,daily,Bangkok,Ubon Ratchathani to Bangkok,0,,,0
426,NE-Line,daily,Nakhon Ratchasima,Ubon Ratchathani to Nakhon Ratchasima,0,,,0
422,NE-Line,daily,Lam Chi,Ubon Ratchathani to Lam Chi,0,,,0
146,NE-Line,daily,Bangkok,Ubon Ratchathani to Bangkok,0,,,0
420,NE-Line,daily,Lam Chi,Ubon Ratchathani to Lam Chi,0,,,0
22,NE-Line,daily,Bangkok,Ubon Ratchathani to Bangkok,0,,,0
78,NE-Line,daily,Bangkok,Udon Thani to Bangkok,0,,,0
70,NE-Line,daily,Bangkok,Nong Khai to Bangkok,0,,,0
134,NE-Line,daily,Bangkok,Nong Khai to Bangkok,0,,,0
430,NE-Line,daily,Nakhon Ratchasima,Bua Yai Junction to Nakhon Ratchasima,0,,,0
438,NE-Line,daily,Kaeng Khoi Junction,Lam Narai to Kaeng Khoi Junction,0,,,0
416,NE-Line,daily,Nakhon Ratchasima,Udon Thani to Nakhon Ratchasima,0,,,0
440,NE-Line,daily,Kaeng Khoi Junction,Bua Yai Junction to Kaeng Khoi Junction,0,,,0
76,NE-Line,daily,Bangkok,Nong Khai to Bangkok,0,,,0
434,NE-Line,daily,Kaeng Khoi Junction,Bua Yai Junction to Kaeng Khoi Junction,0,,,0
418,NE-Line,daily,Nakhon Ratchasima,Nong Khai to Nakhon Ratchasima,0,,,0
432,NE-Line,daily,Kaeng Khoi Junction,Khon Kaen to Kaeng Khoi Junction,0,,,0
303,N-Line,daily,Lop Buri,Bangkok to Lop Buri,0,,,0
311,N-Line,daily,Rangsit,Bangkok to Rangsit,0,,,0
407,N-Line,daily,Chiang Mai,Nakhon Sawan to Chiang Mai,0,,,0
403,N-Line,daily,Sila At,Phitsanulok to Sila At,0,,,0
409,N-Line,daily,Lop Buri,Ayutthaya to Lop Buri,0,,,0
401,N-Line,daily,Phitsanulok,Lop Buri to Phitsanulok,0,,,0
111,N-Line,daily,Den Chai,Bangkok to Den Chai,0,,,0
9,N-Line,daily,Chiang Mai,Bangkok to Chiang Mai,0,,,0
201,N-Line,daily,Phitsanulok,Bangkok to Phitsanulok,0,,,0
3,N-Line,daily,Sila At,Bangkok to Sila At,0,,,0
